Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,6.85,7.39,6.36,6.80,24477000,6.80
2012-05-14,7.46,8.88,6.40,7.16,30178300,7.16
2012-05-07,8.30,8.58,7.34,7.48,19061400,7.48
2012-04-30,8.71,9.24,7.95,8.33,22625700,8.33
2012-04-23,8.92,9.54,8.14,8.52,28280400,8.52
2012-04-16,11.94,12.07,9.15,9.22,17176600,9.22
2012-04-09,11.60,12.34,11.25,11.85,6547400,11.85
2012-04-02,12.99,13.15,11.76,11.91,9605800,11.91
2012-03-26,13.37,13.55,12.20,13.15,16891100,13.15
2012-03-19,12.91,14.48,12.80,13.40,9618600,13.40
2012-03-12,14.04,14.32,12.75,13.03,6664700,13.03
2012-03-05,14.34,14.47,13.19,13.89,7088200,13.89
2012-02-27,12.89,15.91,12.70,14.69,12176500,14.69
2012-02-21,13.05,13.39,12.55,12.93,5589700,12.93
2012-02-13,13.70,14.55,11.71,12.93,21233500,12.93
2012-02-06,13.56,14.00,12.49,13.33,16878500,13.33
2012-01-30,10.02,14.44,10.02,13.39,28059400,13.39
2012-01-23,9.15,10.25,8.75,10.05,8925100,10.05
2012-01-17,9.10,9.40,8.50,9.09,5424200,9.09
2012-01-09,8.53,8.99,7.97,8.87,5147200,8.87
2012-01-03,9.52,9.64,8.45,8.81,6614000,8.81
2011-12-27,9.34,9.82,9.19,9.41,3385700,9.41
2011-12-19,9.50,9.65,8.75,9.39,7492700,9.39
2011-12-16,11.00,11.50,9.00,9.50,116817000,9.50
